title,subTitle,totalScore,categoryName,address,locatedIn,neighborhood,street,city,postalCode,state,countryCode,plusCode,website,phone,temporarilyClosed,permanentlyClosed,isAdvertisement,rank,placeId,url,searchPageUrl,searchString,location,scrapedAt,popularTimesLiveText,popularTimesLivePercent,reviewsCountText,reviewsCount,imageUrls
S S SYSTEMS,,4.3,Air conditioning store,"NO-1456, 4TH E MAIN, 11TH CROSS,, MARIYAPPANAPALAYA, RAJAJINAGAR,, Bengaluru, Karnataka 560021",,"NO-1456, 4TH E MAIN, 11TH CROSS,, MARIYAPPANAPALAYA, RAJAJINAGAR,","NO-1456, 4TH E MAIN, 11TH CROSS,, MARIYAPPANAPALAYA, RAJAJINAGAR,",Bengaluru,560021,Karnataka,IN,"XHW5+HM Bengaluru, Karnataka",jci-hitachi.in,098451 21538,,,,20,ChIJe5PFq4k9rjsRSKNBF492dqo,"https://www.google.com/maps/place/S+S+SYSTEMS/@12.9963931,77.5569911,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3d89abc5937b:0xaa76768f1741a348!8m2!3d12.9963931!4d77.5591798?hl=en","https://www.google.com/maps/search/AC+Dealer+in+Bangalore/@13.0883075,77.5317903,15z?hl=en",AC Dealer in Bangalore,"{""lat"":12.9963931,""lng"":77.5591798}",2021-02-05T17:31:40.564Z,,,14,14,"[""https://lh5.googleusercontent.com/p/AF1QipP9Us3PdnRm4ujWRH2RIKyGyQWoG6TwxmPfPqJR=w1920-h1080-k-no""]"
Voltas Brand Shop,,4.2,Air conditioning store,"5/2, 2nd Main Rd, KB Nagar, Malleshwaram, Bengaluru, Karnataka 560003",,"5/2, 2nd Main Rd","5/2, 2nd Main Rd",Bengaluru,560003,Karnataka,IN,"XHXG+HP Bengaluru, Karnataka",voltas.com,,,,,40,ChIJLzZ0ZzoWrjsRPjNOOAVWtZI,"https://www.google.com/maps/place/Voltas+Brand+Shop/@12.9988892,77.5746043,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae163a6774362f:0x92b55605384e333e!8m2!3d12.9988892!4d77.576793?hl=en","https://www.google.com/maps/search/AC+Dealer+in+Bangalore/@13.0882979,77.4705047,12z/data=!4m2!2m1!6e6?hl=en",AC Dealer in Bangalore,"{""lat"":12.9988892,""lng"":77.576793}",2021-02-05T17:31:52.537Z,,,12,12,"[""https://lh5.googleusercontent.com/p/AF1QipN2bvSxeV2K1rD7VztGg51Dg8_YCOUSLBKQbCSo=w1920-h1080-k-no""]"
Air Conditioner Service Center in Jayanagar,,5,Air conditioning store,"1-50, 31st A Cross Rd, BTB Area, 4th T Block East, Jayanagar, Bengaluru, Karnataka 560041",,"1-50, 31st A Cross Rd","1-50, 31st A Cross Rd",Bengaluru,560041,Karnataka,IN,"WHHR+3M Bengaluru, Karnataka",mylloyd.com,,,,,141,ChIJDwmI_FwVrjsRCayxDWxsYAE,"https://www.google.com/maps/place/Air+Conditioner+Service+Center+in+Jayanagar/@12.9276665,77.5894949,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae155cfc88090f:0x1606c6c0db1ac09!8m2!3d12.9276665!4d77.5916836?hl=en","https://www.google.com/maps/search/AC+Dealer+in+Bangalore/@13.0882979,77.4705047,12z/data=!4m2!2m1!6e6?hl=en",AC Dealer in Bangalore,"{""lat"":12.9276665,""lng"":77.5916836}",2021-02-05T17:32:08.083Z,,,2,2,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Unimech Systems Bangalore Pvt Ltd,,4.2,Air conditioning contractor,"No, 197, 12th Main Rd, Koramangala 4th Block, Koramangala, Bengaluru, Karnataka 560034",,"No, 197, 12th Main Rd","No, 197, 12th Main Rd",Bengaluru,560034,Karnataka,IN,"WJMH+GC Bengaluru, Karnataka",unimechsystem.in,080 4126 1234,,,,60,ChIJhWlKQ6cWrjsRsw59eAE-EDI,"https://www.google.com/maps/place/Unimech+Systems+Bangalore+Pvt+Ltd/@12.9337603,77.6263837,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae16a7434a6985:0x32103e01787d0eb3!8m2!3d12.9337603!4d77.6285724?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.088305,77.5055256,13z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.9337603,""lng"":77.6285724}",2021-02-05T17:32:09.581Z,,,26,26,"[""https://lh5.googleusercontent.com/p/AF1QipMCxkjxvpEkagq2HyXnbPAZE6p86iTfNHZUnh7y=w1920-h1080-k-no""]"
Fast Cool Air Conditioners,,,Air conditioning repair service,"81, Chandni Chowk Rd, Swamy Shivanandapuram, Shivaji Nagar, Bengaluru, Karnataka 560051",,"81, Chandni Chowk Rd","81, Chandni Chowk Rd",Bengaluru,560051,Karnataka,IN,"XJM2+WQ Bengaluru, Karnataka",,085539 47995,,,,80,ChIJIRd9q2YWrjsRSUTLuJtSizI,"https://www.google.com/maps/place/Fast+Cool+Air+Conditioners/@12.9848588,77.5997274,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1666ab7d1721:0x328b529bb8cb4449!8m2!3d12.9848588!4d77.6019161?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@13.0882979,77.4705047,12z?hl=en",AC Repair in Bangalore,"{""lat"":12.9848588,""lng"":77.6019161}",2021-02-05T17:31:56.975Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Bangalore Air-Tech Solution,,4.2,Corporate office,"Shed No. MGP - 50, Vishruth, Sy. No. 130, 2nd Cross, Magadi Main Road, Machohalli Industrial Area, Bengaluru, Karnataka 560091",,"Shed No. MGP - 50, Vishruth, Sy. No. 130, 2nd Cross, Magadi Main Road, Machohalli Industrial Area","Shed No. MGP - 50, Vishruth, Sy. No. 130, 2nd Cross, Magadi Main Road, Machohalli Industrial Area",Bengaluru,560091,Karnataka,IN,"XFR3+4G Bengaluru, Karnataka",bangaloreairtech.com,099451 33972,1,,,296,ChIJE8R9PncWrjsR0UD3uuRYMtI,"https://www.google.com/maps/place/Bangalore+Air-Tech+Solution/@12.990367,77.4516427,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae16773e7dc413:0xd23258e4baf740d1!8m2!3d12.990367!4d77.4538314?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.990367,""lng"":77.4538314}",2021-02-05T17:32:38.806Z,,,5,5,"[""https://lh5.googleusercontent.com/p/AF1QipOXao0P-CWcZ1FpRKuvf-Starxc9K-ME--JGT_m=w1920-h1080-k-no""]"
Intellimech Systems,,4.1,Air conditioning system supplier,"No.1, 1st Floor, Kempaiah Layout, Chenamma Choultry Road, Sanjaya Nagar RMV II Stage (, near Akai Public School, Bengaluru, Karnataka 560094",,"No.1, 1st Floor, Kempaiah Layout, Chenamma Choultry Road, Sanjaya Nagar RMV II Stage (, near Akai Public School","No.1, 1st Floor, Kempaiah Layout, Chenamma Choultry Road, Sanjaya Nagar RMV II Stage (, near Akai Public School",Bengaluru,560094,Karnataka,IN,"2HQC+QW Bengaluru, Karnataka",intellimech.co.in,080 4206 1531,,,,295,ChIJe3kCxu4XrjsRcOOGCQp5UT0,"https://www.google.com/maps/place/Intellimech+Systems/@13.03938,77.5701543,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae17eec602797b:0x3d51790a0986e370!8m2!3d13.03938!4d77.572343?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":13.03938,""lng"":77.572343}",2021-02-05T17:32:41.729Z,,,7,7,"[""https://lh5.googleusercontent.com/p/AF1QipMMo9UcjTX8l5nU5YwttmUS_Mq_ij1toDJEvQ6h=w1920-h1080-k-no""]"
3S Vent tech,,5,Air conditioning system supplier,"NO:112/1, Umesh Reddy Building Bhanahalli Main Road, Chandapura, Bengaluru, Karnataka 560099",,"NO:112/1, Umesh Reddy Building Bhanahalli Main Road","NO:112/1, Umesh Reddy Building Bhanahalli Main Road",Bengaluru,560099,Karnataka,IN,"QPX2+RH Bengaluru, Karnataka",,096114 22701,,,,289,ChIJMweL2NttrjsR9WPH3_QrrqM,"https://www.google.com/maps/place/3S+Vent+tech/@12.7995503,77.6992367,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae6ddbd88b0733:0xa3ae2bf4dfc763f5!8m2!3d12.7995503!4d77.7014254?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.7995503,""lng"":77.7014254}",2021-02-05T17:32:56.481Z,,,4,4,"[""https://lh5.googleusercontent.com/p/AF1QipMNLVVaCrploW5hVAvQOhMLI-9Q4r_NciAVXBwl=w1920-h1080-k-no""]"
Infragreen Airconditioning Private Limited,,,,"No. 1626-B, 18th Main Rd, 5th Block, 1st Stage, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka 560043",,"No. 1626-B, 18th Main Rd","No. 1626-B, 18th Main Rd",Bengaluru,560043,Karnataka,IN,"2JPJ+Q4 Bengaluru, Karnataka",infragreen.in,,,,,293,ChIJ3153rGoXrjsRH-F-YGnV71w,"https://www.google.com/maps/place/Infragreen+Airconditioning+Private+Limited/@13.0369647,77.6281337,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae176aac775edf:0x5cefd569607ee11f!8m2!3d13.0369647!4d77.6303224?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":13.0369647,""lng"":77.6303224}",2021-02-05T17:32:51.430Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
San Engineering Company,,4.3,Engineering consultant,"1 Abhishek Complex 17th Cross, Sampige Rd, Malleshwaram, Bengaluru, Karnataka 560003",,"1 Abhishek Complex 17th Cross, Sampige Rd","1 Abhishek Complex 17th Cross, Sampige Rd",Bengaluru,560003,Karnataka,IN,"2H4C+VC Bengaluru, Karnataka",sanengineeringcompany.com,080 2334 3777,,,,287,ChIJLxKg7yQWrjsR1mWWZf_sElQ,"https://www.google.com/maps/place/San+Engineering+Company/@13.0072486,77.5688499,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1624efa0122f:0x5412ecff659665d6!8m2!3d13.0072486!4d77.5710386?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":13.0072486,""lng"":77.5710386}",2021-02-05T17:33:08.197Z,,,6,6,"[""https://lh5.googleusercontent.com/p/AF1QipO8RBW0SiBUwc9im0NsqAvVGQ1NfZLMV3tQKHY8=w1920-h1080-k-no""]"
