title,subTitle,totalScore,categoryName,address,locatedIn,neighborhood,street,city,postalCode,state,countryCode,plusCode,website,phone,temporarilyClosed,permanentlyClosed,isAdvertisement,rank,placeId,url,searchPageUrl,searchString,location,scrapedAt,popularTimesLiveText,popularTimesLivePercent,popularTimesHistogram,reviewsCountText,reviewsCount,imageUrls
Premium Cooling,,4.5,Air conditioning system supplier,"#7, Byrasandra Main Rd, near Madhavan Park, Jaya Nagar 1st Block, Bengaluru, Karnataka 560011",,"#7, Byrasandra Main Rd, near Madhavan Park","#7, Byrasandra Main Rd, near Madhavan Park",Bengaluru,560011,Karnataka,IN,"WHPP+47 Bengaluru, Karnataka",premiumcooling.net,097396 56825,,,,20,ChIJmdrGcL0VrjsRNTjQ1QN0nG0,"https://www.google.com/maps/place/Premium+Cooling/@12.9352798,77.5835077,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae15bd70c6da99:0x6d9c7403d5d03835!8m2!3d12.9352798!4d77.5856964?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@13.0883075,77.5317903,15z?hl=en",ac repair in jayanagar,"{""lat"":12.9352798,""lng"":77.5856964}",2021-02-05T16:54:22.261Z,,,"{""Su"":[],""Mo"":[{""hour"":6,""occupancyPercent"":0},{""hour"":7,""occupancyPercent"":0},{""hour"":8,""occupancyPercent"":0},{""hour"":9,""occupancyPercent"":57},{""hour"":10,""occupancyPercent"":73},{""hour"":11,""occupancyPercent"":29},{""hour"":12,""occupancyPercent"":14},{""hour"":13,""occupancyPercent"":21},{""hour"":14,""occupancyPercent"":33},{""hour"":15,""occupancyPercent"":42},{""hour"":16,""occupancyPercent"":49},{""hour"":17,""occupancyPercent"":49},{""hour"":18,""occupancyPercent"":44},{""hour"":19,""occupancyPercent"":0},{""hour"":20,""occupancyPercent"":0},{""hour"":21,""occupancyPercent"":0},{""hour"":22,""occupancyPercent"":0},{""hour"":23,""occupancyPercent"":0}],""Tu"":[{""hour"":6,""occupancyPercent"":0},{""hour"":7,""occupancyPercent"":0},{""hour"":8,""occupancyPercent"":0},{""hour"":9,""occupancyPercent"":54},{""hour"":10,""occupancyPercent"":65},{""hour"":11,""occupancyPercent"":33},{""hour"":12,""occupancyPercent"":14},{""hour"":13,""occupancyPercent"":21},{""hour"":14,""occupancyPercent"":36},{""hour"":15,""occupancyPercent"":50},{""hour"":16,""occupancyPercent"":58},{""hour"":17,""occupancyPercent"":57},{""hour"":18,""occupancyPercent"":45},{""hour"":19,""occupancyPercent"":0},{""hour"":20,""occupancyPercent"":0},{""hour"":21,""occupancyPercent"":0},{""hour"":22,""occupancyPercent"":0},{""hour"":23,""occupancyPercent"":0}],""We"":[{""hour"":6,""occupancyPercent"":0},{""hour"":7,""occupancyPercent"":0},{""hour"":8,""occupancyPercent"":0},{""hour"":9,""occupancyPercent"":50},{""hour"":10,""occupancyPercent"":77},{""hour"":11,""occupancyPercent"":46},{""hour"":12,""occupancyPercent"":19},{""hour"":13,""occupancyPercent"":22},{""hour"":14,""occupancyPercent"":37},{""hour"":15,""occupancyPercent"":52},{""hour"":16,""occupancyPercent"":64},{""hour"":17,""occupancyPercent"":66},{""hour"":18,""occupancyPercent"":59},{""hour"":19,""occupancyPercent"":0},{""hour"":20,""occupancyPercent"":0},{""hour"":21,""occupancyPercent"":0},{""hour"":22,""occupancyPercent"":0},{""hour"":23,""occupancyPercent"":0}],""Th"":[{""hour"":6,""occupancyPercent"":0},{""hour"":7,""occupancyPercent"":0},{""hour"":8,""occupancyPercent"":0},{""hour"":9,""occupancyPercent"":56},{""hour"":10,""occupancyPercent"":71},{""hour"":11,""occupancyPercent"":53},{""hour"":12,""occupancyPercent"":29},{""hour"":13,""occupancyPercent"":25},{""hour"":14,""occupancyPercent"":37},{""hour"":15,""occupancyPercent"":53},{""hour"":16,""occupancyPercent"":65},{""hour"":17,""occupancyPercent"":69},{""hour"":18,""occupancyPercent"":61},{""hour"":19,""occupancyPercent"":0},{""hour"":20,""occupancyPercent"":0},{""hour"":21,""occupancyPercent"":0},{""hour"":22,""occupancyPercent"":0},{""hour"":23,""occupancyPercent"":0}],""Fr"":[{""hour"":6,""occupancyPercent"":0},{""hour"":7,""occupancyPercent"":0},{""hour"":8,""occupancyPercent"":0},{""hour"":9,""occupancyPercent"":42},{""hour"":10,""occupancyPercent"":71},{""hour"":11,""occupancyPercent"":39},{""hour"":12,""occupancyPercent"":21},{""hour"":13,""occupancyPercent"":30},{""hour"":14,""occupancyPercent"":43},{""hour"":15,""occupancyPercent"":54},{""hour"":16,""occupancyPercent"":59},{""hour"":17,""occupancyPercent"":57},{""hour"":18,""occupancyPercent"":47},{""hour"":19,""occupancyPercent"":0},{""hour"":20,""occupancyPercent"":0},{""hour"":21,""occupancyPercent"":0},{""hour"":22,""occupancyPercent"":0},{""hour"":23,""occupancyPercent"":0}],""Sa"":[{""hour"":6,""occupancyPercent"":0},{""hour"":7,""occupancyPercent"":0},{""hour"":8,""occupancyPercent"":0},{""hour"":9,""occupancyPercent"":63},{""hour"":10,""occupancyPercent"":100},{""hour"":11,""occupancyPercent"":54},{""hour"":12,""occupancyPercent"":15},{""hour"":13,""occupancyPercent"":15},{""hour"":14,""occupancyPercent"":26},{""hour"":15,""occupancyPercent"":36},{""hour"":16,""occupancyPercent"":42},{""hour"":17,""occupancyPercent"":41},{""hour"":18,""occupancyPercent"":34},{""hour"":19,""occupancyPercent"":0},{""hour"":20,""occupancyPercent"":0},{""hour"":21,""occupancyPercent"":0},{""hour"":22,""occupancyPercent"":0},{""hour"":23,""occupancyPercent"":0}]}",140,140,"[""https://lh5.googleusercontent.com/p/AF1QipMvFR8PJx44ol89LmpCkI1OTiU0T_dt7bf5wPuU=w1920-h1080-k-no""]"
Sneha Enterprises,,4,Air conditioning repair service,"Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru, Karnataka 560011",,,,Bengaluru,560011,Karnataka,IN,"WHJQ+VR Bengaluru, Karnataka",,,,,,18,ChIJo2zZRaMVrjsRTPX_pCYtpqA,"https://www.google.com/maps/place/Sneha+Enterprises/@12.9322275,77.5873509,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae15a345d96ca3:0xa0a62d26a4fff54c!8m2!3d12.9322275!4d77.5895396?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@13.0883075,77.5317903,15z?hl=en",ac repair in jayanagar,"{""lat"":12.9322275,""lng"":77.5895396}",2021-02-05T16:54:32.532Z,,,,5,5,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Heavens colling point,,5,HVAC contractor,"Jaya Nagar 1st Block, Byrasandra, Jayanagar, Bengaluru, Karnataka 560011",,,,Bengaluru,560011,Karnataka,IN,"WHMR+3H Bengaluru, Karnataka",,,,,,40,ChIJS6qSQCoVrjsRr_VrkBf9VvM,"https://www.google.com/maps/place/Heavens+colling+point/@12.9326302,77.5892939,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae152a4092aa4b:0xf356fd17906bf5af!8m2!3d12.9326302!4d77.5914826?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@12.9291517,77.5703043,14z?hl=en",ac repair in jayanagar,"{""lat"":12.9326302,""lng"":77.5914826}",2021-02-05T16:54:33.250Z,,,,3,3,"[""https://lh5.googleusercontent.com/p/AF1QipMwtNhIXnZlLahSlqWOZVHzIt0MX-7rO7Zq9I2W=w1920-h1080-k-no""]"
M. S. Cold Gold,,,Air conditioning repair service,"#277,, 10th cross,, 5th Main, LIC colony, BYRASANDRA, JAYANAGAR 1ST BLOCK East, Bengaluru, Karnataka 560011",,"#277,, 10th cross,, 5th Main, LIC colony, BYRASANDRA, JAYANAGAR 1ST BLOCK East","#277,, 10th cross,, 5th Main, LIC colony, BYRASANDRA, JAYANAGAR 1ST BLOCK East",Bengaluru,560011,Karnataka,IN,"WHHJ+R7 Bengaluru, Karnataka",,098802 96618,,,,19,ChIJGZ5GC5kVrjsRX5XF0_08JmU,"https://www.google.com/maps/place/M.+S.+Cold+Gold/@12.929512,77.5784403,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae15990b469e19:0x65263cfdd3c5955f!8m2!3d12.929512!4d77.580629?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@13.0883075,77.5317903,15z?hl=en",ac repair in jayanagar,"{""lat"":12.929512,""lng"":77.580629}",2021-02-05T16:54:20.744Z,,,,,,"[""https://lh5.googleusercontent.com/p/AF1QipPnWIRaIV5l6YSWyUWV13mtaD3q9YLk4G4f_Ynf=w1920-h1080-k-no""]"
Samartha air conditioning and refrigeration services,,5,Air conditioning contractor,"No-206,maruthi nagar,6th A cross Magadi Main Road, Mahadeshwaranagara Main Rd, Bengaluru, Karnataka 560091",,"No-206,maruthi nagar,6th A cross Magadi Main Road, Mahadeshwaranagara Main Rd","No-206,maruthi nagar,6th A cross Magadi Main Road, Mahadeshwaranagara Main Rd",Bengaluru,560091,Karnataka,IN,"WH4Q+C9 Bengaluru, Karnataka",samarthaaircon.com,099862 72223,,,,140,ChIJt6_cZSAVrjsRbzo88357G6M,"https://www.google.com/maps/place/Samartha+air+conditioning+and+refrigeration+services/@12.9060482,77.5862373,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae152065dcafb7:0xa31b7b7ef33c3a6f!8m2!3d12.9060482!4d77.588426?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@13.0882696,77.400459,11z?hl=en",ac repair in jayanagar,"{""lat"":12.9060482,""lng"":77.588426}",2021-02-05T16:54:50.824Z,,,,1,1,"[""https://lh5.googleusercontent.com/p/AF1QipNvENuJOilU7dSRhVHoQNJuhU1nH2e5-kqBCamA=w1920-h1080-k-no""]"
SA cooling system,,5,Air conditioning repair service,,,,,,,,,,,,,,,160,ChIJg3ap3F0VrjsR7jCViIgoZWE,"https://www.google.com/maps/place/SA+cooling+system/@12.9138514,77.5950804,14z/data=!3m1!4b1!4m5!3m4!1s0x3bae155ddca97683:0x61652888889530ee!8m2!3d12.913852!4d77.61259?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@13.0882696,77.400459,11z?hl=en",ac repair in jayanagar,"{""lat"":12.913852,""lng"":77.61259}",2021-02-05T16:54:57.466Z,,,,1,1,"[""https://lh5.googleusercontent.com/p/AF1QipP0Iv5MA9eo-dNfVNQckjI3DlUsBGOTT1GAg7qV=w1920-h1080-k-no""]"
LG Best Shop-PAI INTERNATIONAL,,4.4,Electronics Company,"Tirumalai Eye Clinic, #427/14, 41ST CROSS, 9 MAIN, OPP TO, 5th Block, Jayanagar, Bengaluru, Karnataka 560041",,"Tirumalai Eye Clinic, #427/14, 41ST CROSS, 9 MAIN","Tirumalai Eye Clinic, #427/14, 41ST CROSS, 9 MAIN",Bengaluru,560041,Karnataka,IN,"WH9M+Q9 Bengaluru, Karnataka",lg.com,096115 16300,,,,139,ChIJgRiQMZEVrjsRDZyol8ko5N0,"https://www.google.com/maps/place/LG+Best+Shop-PAI+INTERNATIONAL/@12.9194562,77.5812654,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae159131901881:0xdde428c997a89c0d!8m2!3d12.9194562!4d77.5834541?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@13.0882696,77.400459,11z?hl=en",ac repair in jayanagar,"{""lat"":12.9194562,""lng"":77.5834541}",2021-02-05T16:54:59.410Z,,,,16,16,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
M M Cool Links,,4,Refrigerator repair service,"#29,5th cross, 23rd main manjunatha colony marenahalli, 2nd Phase, J P Nagar, Bengaluru, Karnataka 560078",,"#29,5th cross, 23rd main manjunatha colony marenahalli, 2nd Phase, J P Nagar","#29,5th cross, 23rd main manjunatha colony marenahalli, 2nd Phase, J P Nagar",Bengaluru,560078,Karnataka,IN,"WH7P+7J Bengaluru, Karnataka",,093417 93988,,,,100,ChIJJ7jlHQ0VrjsRDjTKvouMQZs,"https://www.google.com/maps/place/M+M+Cool+Links/@12.9132138,77.5844273,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae150d1de5b827:0x9b418c8bbeca340e!8m2!3d12.9132138!4d77.586616?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@13.0882696,77.400459,11z?hl=en",ac repair in jayanagar,"{""lat"":12.9132138,""lng"":77.586616}",2021-02-05T16:54:59.824Z,,,,4,4,"[""https://lh4.googleusercontent.com/proxy/oOw7GZC67d2MQJgQL-SU_BO_tQ550IKS0Cp6g5fVpSfIpLR9Ad5MfNy7G-29Je_-MNbORmh0KoVpCIqOOIUvje2ALoN9HsSFlkV18aVEeNoalwl876c9b-dyYWReGrU1b3Ex2PgWHjd3J7ic7nLW1EfsKeY=w1920-h1080-k-no""]"
Standard Air Conditioning and Refrigeration,,,Air conditioning repair service,"8th Cross Rd, Sampangi Rama Nagara, Sampangi Rama Nagar, Bengaluru, Karnataka 560027",,8th Cross Rd,8th Cross Rd,Bengaluru,560027,Karnataka,IN,"XH8V+9R Bengaluru, Karnataka",,,1,,,120,ChIJ36UqatgVrjsRel7rOja-Hh8,"https://www.google.com/maps/place/Standard+Air+Conditioning+and+Refrigeration/@12.9659507,77.5923492,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae15d86a2aa5df:0x1f1ebe363aeb5e7a!8m2!3d12.9659507!4d77.5945379?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@13.0882696,77.400459,11z?hl=en",ac repair in jayanagar,"{""lat"":12.9659507,""lng"":77.5945379}",2021-02-05T16:54:46.320Z,,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Carrier Airconditioning & Refrigeration Ltd,,4,Store,"no 9 3rd floor 560 029 Prestige Blue Chip Software Park, Dairy Colony, Adugodi, Bengaluru, Karnataka 560029",,no 9 3rd floor 560 029 Prestige Blue Chip Software Park,no 9 3rd floor 560 029 Prestige Blue Chip Software Park,Bengaluru,560029,Karnataka,IN,"WJP4+W4 Bengaluru, Karnataka",carrier.com,080 4344 2000,,,,298,ChIJ12X9BbMVrjsRjnI6977B018,"https://www.google.com/maps/place/Carrier+Airconditioning+%26+Refrigeration+Ltd/@12.9372998,77.6030934,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae15b305fd65d7:0x5fd3c1bef73a728e!8m2!3d12.9372998!4d77.6052821?hl=en","https://www.google.com/maps/search/ac+repair+in+jayanagar/@13.0882979,77.4705047,12z?hl=en",ac repair in jayanagar,"{""lat"":12.9372998,""lng"":77.6052821}",2021-02-05T16:55:16.619Z,,,,14,14,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
