title,subTitle,totalScore,categoryName,address,locatedIn,neighborhood,street,city,postalCode,state,countryCode,plusCode,website,phone,temporarilyClosed,permanentlyClosed,isAdvertisement,rank,placeId,url,searchPageUrl,searchString,location,scrapedAt,popularTimesLiveText,popularTimesLivePercent,reviewsCountText,reviewsCount,imageUrls
Supportline.Inc,,4.5,Air conditioning store,"#14/1, 10th cross, 2nd Main Road, Vyalikaval, opposite vyalikaval police station, Bengaluru, Karnataka 560003",,"#14/1, 10th cross, 2nd Main Road, Vyalikaval, opposite vyalikaval police station","#14/1, 10th cross, 2nd Main Road, Vyalikaval, opposite vyalikaval police station",Bengaluru,560003,Karnataka,IN,"2H2H+F9 Bengaluru, Karnataka",supportlineinc.com,080 2334 3918,,,,19,ChIJpa5UtzAWrjsRu2gNXgXsk5g,"https://www.google.com/maps/place/Supportline.Inc/@13.0011343,77.576195,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1630b754aea5:0x9893ec055e0d68bb!8m2!3d13.0011343!4d77.5783837?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.0883086,77.5318128,15z?hl=en",ac repair in malleswaram,"{""lat"":13.0011343,""lng"":77.5783837}",2021-02-05T20:21:55.803Z,,,4,4,"[""https://lh5.googleusercontent.com/p/AF1QipP4PuGVTnKI8JyiDR1xEe-kWzSob91CAtMr7UXS=w1920-h1080-k-no""]"
Chill Tech,,4.7,Refrigerator repair service,"Shop No.41, 1st Cross, Nagappa Block,, Mahakali Kuvempu Road, Rajajinagar, Bengaluru, Karnataka 560021",,"Shop No.41, 1st Cross, Nagappa Block,, Mahakali Kuvempu Road","Shop No.41, 1st Cross, Nagappa Block,, Mahakali Kuvempu Road",Bengaluru,560021,Karnataka,IN,"XHW7+H2 Bengaluru, Karnataka",,094480 70544,,,,20,ChIJSfGYeScWrjsRK0xhD8djrYM,"https://www.google.com/maps/place/Chill+Tech/@12.9964547,77.5603226,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae16277998f149:0x83ad63c70f614c2b!8m2!3d12.9964439!4d77.5625093?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.0883086,77.5318128,15z?hl=en",ac repair in malleswaram,"{""lat"":12.9964439,""lng"":77.5625093}",2021-02-05T20:21:57.768Z,,,3,3,"[""https://lh6.googleusercontent.com/proxy/LB3PWuvMqpyUtQtkIAgOnPenxNk8YH9ul_Jx2mCcQ7Bt8X4p2ThQm70F2QJ6nZaerb5jq1UObx9hb2YPJjYLMQ2MVmqCNGsLEktOiMRFj6b24o9ZN5dn8G8iQKqUWXH_YINGreK2KZCc6BCixVoSuZt6Uoc=w1920-h1080-k-no""]"
Neela Inc.,,3.9,HVAC contractor,"#218, 5th Floor, J.P Royale, 13th Cross, Sampige Road, Malleshwaram, Bengaluru, Karnataka 560003",,"#218, 5th Floor, J.P Royale, 13th Cross, Sampige Road, Malleshwaram","#218, 5th Floor, J.P Royale, 13th Cross, Sampige Road, Malleshwaram",Bengaluru,560003,Karnataka,IN,"2H3C+7F Bengaluru, Karnataka",neelainc.in,080 2344 0606,,,,59,ChIJ21oguy8WrjsRBiAa-Ie-lxU,"https://www.google.com/maps/place/Neela+Inc./@13.0032149,77.5690017,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae162fbb205adb:0x1597be87f81a2006!8m2!3d13.0032149!4d77.5711904?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.088299,77.4705271,12z?hl=en",ac repair in malleswaram,"{""lat"":13.0032149,""lng"":77.5711904}",2021-02-05T20:22:08.768Z,,,19,19,"[""https://lh5.googleusercontent.com/p/AF1QipPieRH_fCJdzxWqRx5e-yzth8VyTjKqFljkvRA=w1920-h1080-k-no""]"
Dhruva Thare Air Conditioning,,,Air conditioning store,"1/2-1 , guttahhalli main road, Malleswaram, near Dattatreya Temple, Bengaluru, Karnataka 560003",,"1/2-1 , guttahhalli main road, Malleswaram, near Dattatreya Temple","1/2-1 , guttahhalli main road, Malleswaram, near Dattatreya Temple",Bengaluru,560003,Karnataka,IN,"XHXF+HG Bengaluru, Karnataka",voltasac.com,080 2331 0362,,,,18,ChIJwRqatjoWrjsRi8o3WOBFxn8,"https://www.google.com/maps/place/Dhruva+Thare+Air+Conditioning/@12.9989258,77.571616,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae163ab69a1ac1:0x7fc645e05837ca8b!8m2!3d12.9989258!4d77.5738047?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.0883086,77.5318128,15z?hl=en",ac repair in malleswaram,"{""lat"":12.9989258,""lng"":77.5738047}",2021-02-05T20:21:59.150Z,,,,,"[""https://lh5.googleusercontent.com/p/AF1QipPzP4os-uhzws5VzjZFHmKM-n8BL5yLP8KxNa6q=w1920-h1080-k-no""]"
Aditya Car AC,,3.9,Auto air conditioning service,"434/a 1 N Block 80 Feet Road Rajajinagar, Nagapura, Bengaluru, Karnataka 560010",,434/a 1 N Block 80 Feet Road Rajajinagar,434/a 1 N Block 80 Feet Road Rajajinagar,Bengaluru,560010,Karnataka,IN,"2H33+VG Bengaluru, Karnataka",adityacarac.com,098860 84746,,,,40,ChIJFzPLeIQ9rjsRXIPKv2NRYIg,"https://www.google.com/maps/place/Aditya+Car+AC/@13.0046433,77.5516262,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3d8478cb3317:0x88605163bfca835c!8m2!3d13.0046433!4d77.5538149?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.088299,77.4705271,12z?hl=en",ac repair in malleswaram,"{""lat"":13.0046433,""lng"":77.5538149}",2021-02-05T20:22:15.477Z,,,142,142,"[""https://lh5.googleusercontent.com/p/AF1QipOsjNHCXXaaLByOCsRD-LYWaPQShRu_ueRCuOo4=w1920-h1080-k-no""]"
LG ® Washing Machine Refrigerator AC Authorised Service Center Bengaluru,,,Appliance repair service,"No 34, L N Complex, Tempana Lane, Nagarpet Cross, Kalasipalya, Bengaluru, Karnataka 560002",,"No 34, L N Complex, Tempana Lane, Nagarpet Cross","No 34, L N Complex, Tempana Lane, Nagarpet Cross",Bengaluru,560002,Karnataka,IN,,,,,,,60,ChIJE8R9PncWrjsRm-vSjOHvqRk,"https://www.google.com/maps/place/LG+%C2%AE+Washing+Machine+Refrigerator+AC+Authorised+Service+Center+Bengaluru/@12.9680681,77.5746791,15z/data=!3m1!4b1!4m5!3m4!1s0x3bae16773e7dc413:0x19a9efe18cd2eb9b!8m2!3d12.9680682!4d77.5834339?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.088299,77.4705271,12z?hl=en",ac repair in malleswaram,"{""lat"":12.9680682,""lng"":77.5834339}",2021-02-05T20:22:07.399Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Big Bazaar,,4,Hypermarket,"Housuja's Mall, Coconut Avenue Road, 166, 5th Cross Rd, Malleshwaram, Bengaluru, Karnataka 560003",,"Housuja's Mall, Coconut Avenue Road, 166, 5th Cross Rd","Housuja's Mall, Coconut Avenue Road, 166, 5th Cross Rd",Bengaluru,560003,Karnataka,IN,"XHWF+VF Bengaluru, Karnataka",bigbazaar.com,,,,,239,ChIJnZWqqi8WrjsRA6tWsLnBkcA,"https://www.google.com/maps/place/Big+Bazaar/@12.9972035,77.5714658,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae162faaaa959d:0xc091c1b9b056ab03!8m2!3d12.9972035!4d77.5736545?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.0883061,77.505548,13z?hl=en",ac repair in malleswaram,"{""lat"":12.9972035,""lng"":77.5736545}",2021-02-05T20:22:32.161Z,,,"12,869",12869,"[""https://lh5.googleusercontent.com/p/AF1QipNYAu_98KlOniEZwtH2uelxEKZQx5Yz9Z8FR0NF=w1920-h1080-k-no""]"
LG Best Shop-ADISHWAR INDIA PVT LTD,,3.3,Electronics Company,"ADISHWAR INDIA PVT LTD #102/26, 10TH MAIN, 1ST N BLOCK, next to Cake Palace, Rajajinagar, Bengaluru, Karnataka 560010",,"ADISHWAR INDIA PVT LTD #102/26, 10TH MAIN, 1ST N BLOCK, next to Cake Palace","ADISHWAR INDIA PVT LTD #102/26, 10TH MAIN, 1ST N BLOCK, next to Cake Palace",Bengaluru,560010,Karnataka,IN,"2H32+PF Bengaluru, Karnataka",lg.com,096112 14130,,,,199,ChIJiVLolG89rjsR2zT4Nb_4IMA,"https://www.google.com/maps/place/LG+Best+Shop-ADISHWAR+INDIA+PVT+LTD/@13.0042667,77.5490577,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3d6f94e85289:0xc020f8bf35f834db!8m2!3d13.0042667!4d77.5512464?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.088299,77.4705271,12z?hl=en",ac repair in malleswaram,"{""lat"":13.0042667,""lng"":77.5512464}",2021-02-05T20:22:34.237Z,,,39,39,"[""https://lh3.googleusercontent.com/proxy/IB9dtUpGt8SNaEWPLKQm-WrSAzCsgBMQEW2EmQEaPsEU2_ImMZNPPLQkpXhgow0Px-qByx9JGBQQhYzPi95Pe2HkFBM1uKIsRP9DzvSdeq4fEW6ffq4Dv0sBNCuKEb7FCL8c17izvvNT-FWGJLinFD3lU8o=w1920-h1080-k-no""]"
Ro Water Purifier,,,Electronics store,"DNR Layout, Malleshwaram, Bengaluru, Karnataka 560003",,,,Bengaluru,560003,Karnataka,IN,"XHWG+H8 Bengaluru, Karnataka",saraswaterite.in,076696 44132,,,,200,ChIJiaEMDjsWrjsRazTdf585IOg,"https://www.google.com/maps/place/Ro+Water+Purifier/@12.9963979,77.5736726,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae163b0e0ca189:0xe820399f7fdd346b!8m2!3d12.9963984!4d77.5758647?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.088299,77.4705271,12z?hl=en",ac repair in malleswaram,"{""lat"":12.9963984,""lng"":77.5758647}",2021-02-05T20:22:22.984Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
VS Coolerrs,,,Electronics store,"VS COOLERRS HVAC ENGINEERS & CONTRACTORS, I FLOOR, 14th Cross Rd, 1st phase Girinagar, II Phase, Banashankari, Bengaluru, Karnataka 560085",,"VS COOLERRS HVAC ENGINEERS & CONTRACTORS, I FLOOR, 14th Cross Rd","VS COOLERRS HVAC ENGINEERS & CONTRACTORS, I FLOOR, 14th Cross Rd",Bengaluru,560085,Karnataka,IN,"WGWQ+XF Bengaluru, Karnataka",,,,,,240,ChIJtZFCbIU_rjsRteqCDuab-Ms,"https://www.google.com/maps/place/VS+Coolerrs/@12.9474904,77.5364882,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3f856c4291b5:0xcbf89be60e82eab5!8m2!3d12.9474904!4d77.5386769?hl=en","https://www.google.com/maps/search/ac+repair+in+malleswaram/@13.0883061,77.505548,13z?hl=en",ac repair in malleswaram,"{""lat"":12.9474904,""lng"":77.5386769}",2021-02-05T20:22:31.276Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
