title,subTitle,totalScore,categoryName,address,locatedIn,plusCode,website,phone,temporarilyClosed,permanentlyClosed,isAdvertisement,rank,placeId,url,searchPageUrl,searchString,location,scrapedAt,popularTimesLiveText,popularTimesLivePercent,reviewsCountText,reviewsCount,imageUrls
customerfirst ac repairs and services,,4.5,Air conditioning repair service,,,,,099459 97734,,,,17,ChIJn5M_MvEWrjsR0G9iHbOE4IA,"https://www.google.com/maps/place/customerfirst+ac+repairs+and+services/@12.9917514,77.5103669,11z/data=!3m1!4b1!4m5!3m4!1s0x3bae16f1323f939f:0x80e084b31d626fd0!8m2!3d12.9983989!4d77.6137882?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9740638,77.5945977,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9983989,""lng"":77.6137882}",2021-02-08T15:54:47.964Z,,,4,4,"[""https://lh5.googleusercontent.com/p/AF1QipNUEWNoynHls7mYtxtECuAbl1Hr5b0GhLOOdq17=w1920-h1080-k-no""]"
Sri Ayyappa Car AC & Auto Electrical,,4.8,Air conditioning repair service,"#314 3rd main road East of N.G.E.F Nagar RTO office Bangalore B.D near Kasturi A layout, Vijinapura, Bengaluru, Karnataka 560016",,"2M37+5P Bengaluru, Karnataka",business.site,098456 42416,,,,19,ChIJe0uacjARrjsRMFNdGAYnCa8,"https://www.google.com/maps/place/Sri+Ayyappa+Car+AC+%26+Auto+Electrical/@13.002912,77.6620914,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1130729a4b7b:0xaf092706185d5330!8m2!3d13.002912!4d77.6642801?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9740638,77.5945977,10z?hl=en",AC Repair in Bangalore,"{""lat"":13.002912,""lng"":77.6642801}",2021-02-08T15:54:52.985Z,,,180,180,"[""https://lh5.googleusercontent.com/p/AF1QipNuRYhnapT6FfNkrp75XUAOPLOdR0BDxG65ZLEx=w1920-h1080-k-no""]"
Ac repair and services,,,Air conditioning repair service,"Abu Bakar Masjid, NO 4, 11th C Cross, Padarayanapura, Padarayana Pura, Bengaluru, Karnataka 560026",,"XG6W+MV Bengaluru, Karnataka",,,,,,14,ChIJKVM1u-M_rjsRtVYajmCRDsw,"https://www.google.com/maps/place/Ac+repair+and+services/@12.9617093,77.5449715,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3fe3bb355329:0xcc0e91608e1a56b5!8m2!3d12.9617093!4d77.5471602?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9740638,77.5945977,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9617093,""lng"":77.5471602}",2021-02-08T15:54:54.500Z,,,,,"[""https://lh5.googleusercontent.com/p/AF1QipOPV0wJxhzu16EIBBueXAzpDOUNzESlwv2A7W5x=w1920-h1080-k-no""]"
SAMSUNG ® Washing Machine Refrigerator AC Authorised Service Center Bangalore,,4.5,Appliance repair service,"Belagodu Complex, 19, 20, Venkataramana Naik Ln, S.P Road Cross, Bengaluru, Karnataka 560002",,"XH7H+VJ Bengaluru, Karnataka",,,,,,158,ChIJB_eNPeIVrjsRkjZrjSeRg9U,"https://www.google.com/maps/place/SAMSUNG+%C2%AE+Washing+Machine+Refrigerator+AC+Authorised+Service+Center+Bangalore/@12.9646576,77.57688,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae15e23d8df707:0xd58391278d6b3692!8m2!3d12.9646576!4d77.5790687?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@13.0075734,77.4943982,11z?hl=en",AC Repair in Bangalore,"{""lat"":12.9646576,""lng"":77.5790687}",2021-02-08T15:55:13.355Z,,,2,2,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Ac Gas Refilling Services,,,Air conditioning repair service,"No 265, Kamaraj Rd, Shivaji Nagar, Bharati Nagar, Shivaji Nagar, Bengaluru, Karnataka 560042",,"XJM6+78 Bengaluru, Karnataka",,,,,,40,ChIJq3Y3CokWrjsReWq8JVpyAd8,"https://www.google.com/maps/place/Ac+Gas+Refilling+Services/@12.9832103,77.6086398,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae16890a3776ab:0xdf01725a25bc6a79!8m2!3d12.9832103!4d77.6108285?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9832103,""lng"":77.6108285}",2021-02-08T15:55:00.334Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
whirlpool washing machine| refrigerator& microwave oven | ac repair center in Bengaluru,,,Appliance repair service,"Hanumanthappa Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042",,"XJH8+9C Bengaluru, Karnataka",,,,,,79,ChIJ665N9fQXrjsRVBIUT5bi1EI,"https://www.google.com/maps/place/whirlpool+washing+machine%7C+refrigerator%26+microwave+oven+%7C+ac+repair+center+in+Bengaluru/@12.9784655,77.6138335,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae17f4f54daeeb:0x42d4e2964f141254!8m2!3d12.9784655!4d77.6160222?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9784655,""lng"":77.6160222}",2021-02-08T15:55:05.988Z,,,,,"[""https://lh5.googleusercontent.com/p/AF1QipMLliNR12SMb86_4LbohcLErXkd5q4b-01lMRem=w1920-h1080-k-no""]"
whirlpool washing machine| refrigerator& microwave oven | ac repair center in Bengaluru,,,Appliance repair service,"Unnamed Road, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560025",,"XJC8+M7 Bengaluru, Karnataka",,,,,,100,ChIJCUaPcJMXrjsR8BZ6tcOqqK4,"https://www.google.com/maps/place/whirlpool+washing+machine%7C+refrigerator%26+microwave+oven+%7C+ac+repair+center+in+Bengaluru/@12.9717388,77.613482,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1793708f4609:0xaea8aac3b57a16f0!8m2!3d12.9717388!4d77.6156707?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9717388,""lng"":77.6156707}",2021-02-08T15:55:06.867Z,,,,,"[""https://lh5.googleusercontent.com/p/AF1QipPE8xP7mF_Ynf-TT4OFXL7J9JrERqDT5QKCueEa=w1920-h1080-k-no""]"
Comfort Cooling,,4.2,Air conditioning system supplier,"No.18, F Street OppMillenia Tower, Jayaraj Nagar, Halasuru, Karnataka 560008",,"XJJG+P2 Halasuru, Karnataka",mitsubishielectric.in,097316 31661,1,,,276,ChIJRfURM5cWrjsRlXDacc-aXi8,"https://www.google.com/maps/place/Comfort+Cooling/@12.9818382,77.6229136,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae16973311f545:0x2f5e9acf71da7095!8m2!3d12.9818382!4d77.6251023?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9767018,77.5189972,12z?hl=en",AC Repair in Bangalore,"{""lat"":12.9818382,""lng"":77.6251023}",2021-02-08T15:55:34.487Z,,,6,6,"[""https://lh6.googleusercontent.com/TJldx5_0cu9YLHrZuoL8km6Pb1qV1mj0-XK3kRX6OPjvPYNAAGFK46nFzeLv9W8=w1920-h1080-k-no""]"
AC MULTI BRAND REPAIR AND SERVICE,,4.6,Electrical repair shop,"934, 2nd A Cross Rd, 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079",,"XGXR+P8 Bengaluru, Karnataka",dialandsearch.com,,,,,258,ChIJy-ZtmJc9rjsRqvpnESRnw68,"https://www.google.com/maps/place/AC+MULTI+BRAND+REPAIR+AND+SERVICE/@12.999252,77.5386553,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3d97986de6cb:0xafc367241167faaa!8m2!3d12.999252!4d77.540844?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.999252,""lng"":77.540844}",2021-02-08T15:55:52.406Z,,,12,12,"[""https://lh5.googleusercontent.com/p/AF1QipPjf7u8DoC3CNsynu8I31N4a7Bg1b-J0fFbRq_g=w1920-h1080-k-no""]"
Iceberg Systems,,5,Air conditioning contractor,"Linden St, Xavier Layout, Austin Town, Bengaluru, Karnataka 560047",,"XJ77+C8 Bengaluru, Karnataka",,080 2554 5321,,,,254,ChIJ6Yw1uy4UrjsRoKqeXYeqqOA,"https://www.google.com/maps/place/Iceberg+Systems/@12.9635673,77.6111257,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae142ebb358ce9:0xe0a8aa875d9eaaa0!8m2!3d12.9635119!4d77.6133202?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9635119,""lng"":77.6133202}",2021-02-08T15:55:53.009Z,,,4,4,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
