web-scraper-order,web-scraper-start-url,pincode
"1612799095-208","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562125"
"1612799095-217","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560085"
"1612799095-305","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560033"
"1612799095-147","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560070"
"1612799095-416","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560070"
"1612799095-178","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560049"
"1612799095-300","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560068"
"1612799095-299","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560011"
"1612799095-252","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-296","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-130","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560030"
"1612799095-244","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560066"
"1612799095-172","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560046"
"1612799095-169","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560079"
"1612799095-422","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560022"
"1612799095-261","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560011"
"1612799095-322","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560049"
"1612799095-408","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560091"
"1612799095-200","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560045"
"1612799095-221","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560013"
"1612799095-418","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-371","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560004"
"1612799095-183","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560093"
"1612799095-269","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560084"
"1612799095-187","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560018"
"1612799095-331","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560096"
"1612799095-258","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560041"
"1612799095-403","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560040"
"1612799095-154","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560043"
"1612799095-321","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560054"
"1612799095-192","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-139","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560003"
"1612799095-205","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560062"
"1612799095-417","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560078"
"1612799095-215","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560019"
"1612799095-405","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560017"
"1612799095-179","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560056"
"1612799095-380","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560084"
"1612799095-341","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560070"
"1612799095-206","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560037"
"1612799095-267","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560009"
"1612799095-399","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-309","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560033"
"1612799095-259","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560070"
"1612799095-213","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560065"
"1612799095-235","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560048"
"1612799095-214","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560019"
"1612799095-191","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560097"
"1612799095-201","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560036"
"1612799095-274","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560015"
"1612799095-374","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
